"id";"appId";"criteriaId";"description";"comments"
213;1;1;"noviembre 2001";""
214;1;2;"2021-06 (4.20) (6 de junio de 2021 (6 meses y 9 días))";""
215;1;3;"gratis";""
216;1;4;"44 (Including Arabic, Czech, French, German, Hindi, Nepali, Portuguese, Romanian, Russian, and Vietnamese)	";""
217;1;5;"8";""
218;1;6;"Eclipse Public License (EPL) 2.0 and Eclipse Distribution License (EDL)        ";""
219;1;7;"IBM (original author),Eclipse Foundation	";""
220;1;8;"C y Java";""
221;1;9;"si (7)";""
222;1;10;"Eclipse IDE, Theia, Orion, Eclipse Che, Eclipse Dirigible, and more";""
223;1;11;"Windows 7/10 (latest service pack)";""
224;1;12;"512 MB minimo, 1 GB recomendado";""
225;1;13;"300 MB minimo, 1 GB recomendado";""
226;1;14;"JDK 1.4.0 minima, 5.0 recomendado";""
227;1;15;"1024×768 resolución mínima de pantalla";""
228;1;16;"6";""
229;1;18;"Windows, macOS, Linux";""
230;1;19;"si";""
231;1;20;"no";""
232;1;21;"si";""
233;1;22;"si";""
234;1;23;"si";""
235;1;24;"si, mediante Bugzilla se redacta un bug report";""
236;1;25;"si, eclipse no identifica el contexto del programador y no crea un árbol de contexto, por lo que mientras escribe se completa automáticamente a partir del contexto universal de la aplicación";""
237;1;26;"si (1200+)";""
238;1;27;"si";""
239;1;28;"si";""
240;1;29;"Ada, ABAP, C, C++, C#, Clojure, COBOL, D, Erlang, Fortran, Groovy, Haskell, JS, Julia, Lasso, Lua, NATURAL, Perl, PHP, Prolog, Python, R, Ruby, Rust, Scala, and Scheme.	";""
241;1;30;"si";""
242;1;31;"si, suele estar instalado por fececto sino instalar TM";""
243;1;32;"si";""
244;1;33;"si";""
245;1;34;"si";""
246;1;35;"si";""
247;1;36;"si, al depurar en Eclipse, debe evaluar la expresión completa";""
248;1;37;"si mediante eclipse Che";""
249;1;38;"si mediante plugins o conexion RSE";""
250;1;39;"si (Eclipse Orion / Eclipse Che)";""
251;1;40;"Programadores avanzados y proyectos complejos";""
252;1;41;"si";""
253;1;42;"si";""
254;1;43;"si, pero es necesario instalar el complemento de control de versiones en el marketplace";""
255;1;44;"si, pero es dificil de entender no es tan bueno como el de IntelliJ";""
256;1;45;"Se centra principalkmente en el desarrollo de Android y proyectos de Java";""
257;9;1;"enero 2001";""
258;9;2;"2020.1 (info) ( 09 de abril de 2020 (1 año, 8 meses y 18 días))";""
259;9;3;"49,90 euros mensual o 499,00 anual + IVA - todos los productos con iva 785,29 euros/anual (27/12/2021)";""
260;9;4;"1 (English)";""
261;9;5;"7";""
262;9;6;"Free (Apache 2.0) and Commercial licenses";""
263;9;7;"JetBrains";""
264;9;8;"Java y Kotlin";""
265;9;9;"si (9)";""
266;9;10;"IntelliJ IDEA Community Edition (free and open-source)IntelliJ IDEA Ultimate (commercial)IntelliJ IDEA Edu (free and open-source)";""
267;9;11;"Microsoft Windows 10/8/7/Vista/2003/XP (incl.64-bit), macOS 10.5 ";""
268;9;12;"2 GB de RAM como mínimo, 8 GB recomendados";""
269;9;13;"2,5 GB de espacio en disco duro, SSD recomendado";""
270;9;14;"JDK 1.8 desde 2016.1";""
271;9;15;"1024×768 resolución mínima de pantalla";""
272;9;16;"8";""
273;9;17;"IntelliJ tiene un rendimiento más bajo que Eclipse y también un tiempo de pausa potencialmente mayor. ";""
274;9;18;"Windows, macOS, Linux";""
275;9;20;"si, consta de un equipo propio con solicitudes mediante formulario o correo electrónico a JetBrains y promesa de respuesta definitiva en menos de una hora";""
276;9;21;"si";""
277;9;22;"si";""
278;9;23;"si";""
279;9;24;"si, constan de un portal público para gestionar incidencias y bugs https://youtrack.jetbrains.com/issues";""
280;9;25;"si, intelliJ indexa todo el proyecto y su biblioteca siempre está disponible en la ruta de clases e incluso crea un árbol de contexto de decisión para que se analice automaticamente y se inserte la línea adecuada.";""
281;9;26;"2 (750+)";""
282;9;27;"si";""
283;9;28;"si";""
